geo_key;municipio;uf;total_contratos;inadimplentes_totais;adimplentes_totais;inad_parciais_lucrativos;inad_parciais_nao_lucrativos;inad_parciais_lucrativos_pct;inadimplentes_totais_pct_country;adimplentes_totais_pct_country;inad_parciais_lucrativos_pct_country;inad_parciais_nao_lucrativos_pct_country
SAO PAULO_SP;SÃO PAULO;SP;1513;481;1032;85;302;0,056179775280898875;0,038622129436325675;0,030580496044092808;0,031215571061329415;0,04084945218449885
TIJUCAS DO SUL_PR;TIJUCAS DO SUL;PR;1426;225;1201;58;125;0,04067321178120617;0,018066484663561908;0,03558834859394909;0,02130003672420125;0,01690788583795482
AGUDOS DO SUL_PR;AGUDOS DO SUL;PR;1303;211;1092;49;123;0,03760552570990023;0,01694234784005139;0,03235843186060983;0,017994858611825194;0,016637359664547546
MANDIRITUBA_PR;MANDIRITUBA;PR;1169;236;933;69;115;0,05902480752780154;0,0189497350248916;0,02764690194683972;0,025339698861549763;0,015555254970918437
CAMPO DO TENENTE_PR;CAMPO DO TENENTE;PR;1140;172;968;50;100;0,043859649122807015;0,013810823831700658;0,028684031173141316;0,01836210062431142;0,013526308670363857
RIO DE JANEIRO_RJ;RIO DE JANEIRO;RJ;1112;545;567;116;313;0,10431654676258993;0,04376104062951662;0,016801493466085875;0,0426000734484025;0,04233734613823888
PIEN_PR;PIÊN;PR;1088;158;930;45;95;0,04136029411764706;0,01268668700819014;0,02755800515601387;0,01652589056188028;0,012849993236845665
QUITANDINHA_PR;QUITANDINHA;PR;1082;162;920;37;87;0,034195933456561925;0,013007868957764573;0,027261682519927697;0,013587954461990452;0,011767888543216556
CURITIBA_PR;CURITIBA;PR;873;294;579;69;158;0,07903780068728522;0,023606873293720892;0,01715708062938928;0,025339698861549763;0,021371567699174896
SAO BENTO DO SUL_SC;SÃO BENTO DO SUL;SC;857;168;689;42;97;0,049008168028004666;0,013489641882126225;0,020416629626337154;0,015424164524421594;0,013120519410252942
PARANAGUA_PR;PARANAGUÁ;PR;698;179;519;34;106;0,04871060171919771;0,014372892243455919;0,015379144812872255;0,012486228424531766;0,014337887190585688
ICARAIMA_PR;ICARAÍMA;PR;683;80;603;16;59;0,02342606149341142;0,006423638991488678;0,017868254955996088;0,0058758721997796545;0,007980522115514676
GUARATUBA_PR;GUARATUBA;PR;661;226;435;46;143;0,06959152798789713;0,018146780150955517;0,012890034669748422;0,016893132574366507;0,019342621398620318
FAZENDA RIO GRANDE_PR;FAZENDA RIO GRANDE;PR;508;162;346;26;96;0,051181102362204724;0,013007868957764573;0,010252763208581504;0,009548292324641938;0,012985256323549304
BRASILIA_DF;BRASÍLIA;DF;502;189;313;37;126;0,07370517928286853;0,015175847117392003;0,00927489850949714;0,013587954461990452;0,017043148924658462
ALTO PIQUIRI_PR;ALTO PIQUIRI;PR;489;67;422;17;43;0,034764826175869123;0,0053797976553717685;0,012504815242836401;0,006243114212265883;0,005816312728256459
CASTRO_PR;CASTRO;PR;381;132;249;31;76;0,08136482939632546;0,010599004335956319;0,007378433638545649;0,011384502387073081;0,010279994589476532
